column,n_missing,pct,treatment
pixel_latitude,2,0.9,median + MICE-like within event
pixel_longitude,2,0.9,median + MICE-like within event
dist_km,2,0.9,median + MICE-like within event
fire_proxy,3,1.3,median + MICE-like within event
cloud_height_proxy,3,1.3,median + MICE-like within event
raw_fire_bt,3,1.3,median + MICE-like within event
raw_cloud_bt,3,1.3,median + MICE-like within event
simulated_green,3,1.3,median + MICE-like within event
t2m,2,0.9,median + MICE-like within event
sp,2,0.9,median + MICE-like within event
u10,2,0.9,median + MICE-like within event
v10,2,0.9,median + MICE-like within event
z,2,0.9,median + MICE-like within event
blh,2,0.9,median + MICE-like within event
cape,2,0.9,median + MICE-like within event
tp,2,0.9,median + MICE-like within event
cin,201,88.5,structural (no-buoyancy steps); use cin_filled
slhf,2,0.9,median + MICE-like within event
sshf,2,0.9,median + MICE-like within event
fg10,2,0.9,median + MICE-like within event
wind_speed10,2,0.9,median + MICE-like within event
wind_dir_deg,2,0.9,median + MICE-like within event
cin_filled,2,0.9,median + MICE-like within event
injection_potential,3,1.3,median + MICE-like within event
PII,3,1.3,median + MICE-like within event
capped_flag,2,0.9,median + MICE-like within event
rh_650,2,0.9,median + MICE-like within event
rh_750,2,0.9,median + MICE-like within event
rh_850,2,0.9,median + MICE-like within event
u_250,2,0.9,median + MICE-like within event
v_250,2,0.9,median + MICE-like within event
