target,driver,pearson_r
y_fire_proxy_p1,y_pii_p1,0.891
y_fire_proxy_p1,y_chp_p1,-0.802
y_fire_proxy_p1,pixel_longitude,-0.64
y_fire_proxy_p1,longitude_vegetation,-0.64
y_fire_proxy_p1,PII,0.546
y_fire_proxy_p1,simulated_green,-0.54
y_fire_proxy_p1,fire_proxy,0.539
y_fire_proxy_p1,pixel_latitude,0.499
y_fire_proxy_p1,latitude_vegetation,0.498
y_fire_proxy_p1,injection_potential,0.455
y_chp_p1,y_fire_proxy_p1,-0.802
y_chp_p1,y_pii_p1,-0.6
y_chp_p1,pixel_longitude,0.511
y_chp_p1,longitude_vegetation,0.511
y_chp_p1,cloud_height_proxy,0.467
y_chp_p1,raw_cloud_bt,0.423
y_chp_p1,simulated_green,0.379
y_chp_p1,fire_proxy,-0.376
y_chp_p1,y_cbt_chg_p1,0.371
y_chp_p1,tvh,0.371
y_cbt_chg_p1,diurnal_cos,-0.647
y_cbt_chg_p1,raw_cloud_bt,-0.519
y_cbt_chg_p1,blh,-0.434
y_cbt_chg_p1,net_hflux,0.418
y_cbt_chg_p1,raw_fire_bt,-0.401
y_cbt_chg_p1,ventilation,-0.377
y_cbt_chg_p1,y_chp_p1,0.371
y_cbt_chg_p1,y_intensify_p1,0.37
y_cbt_chg_p1,sshf,0.368
y_cbt_chg_p1,cloud_height_proxy,-0.365
y_pii_p1,y_fire_proxy_p1,0.891
y_pii_p1,PII,0.626
y_pii_p1,y_chp_p1,-0.6
y_pii_p1,pixel_longitude,-0.593
y_pii_p1,longitude_vegetation,-0.593
y_pii_p1,pixel_latitude,0.553
y_pii_p1,latitude_vegetation,0.552
y_pii_p1,fire_proxy,0.551
y_pii_p1,simulated_green,-0.551
y_pii_p1,pyroCb_id,0.515
