target,driver,r_lead0
y_fire_proxy_p1,blh,-0.005
y_fire_proxy_p1,cape,-0.052
y_fire_proxy_p1,ventilation,-0.044
y_fire_proxy_p1,rh_colmean,0.336
y_fire_proxy_p1,wind250,-0.122
y_fire_proxy_p1,slhf,0.007
y_fire_proxy_p1,sshf,-0.036
y_fire_proxy_p1,fire_proxy,0.539
y_fire_proxy_p1,raw_cloud_bt,-0.424
y_chp_p1,blh,-0.056
y_chp_p1,cape,0.153
y_chp_p1,ventilation,-0.01
y_chp_p1,rh_colmean,-0.002
y_chp_p1,wind250,0.109
y_chp_p1,slhf,-0.204
y_chp_p1,sshf,0.061
y_chp_p1,fire_proxy,-0.376
y_chp_p1,raw_cloud_bt,0.423
