hour_utc,blh,sshf,cape,d_raw_cloud_bt
0,3540.8,-636276.73,59.32,-0.13
1,1898.9,-355445.79,45.86,-0.12
2,2180.28,-523111.55,2.98,-0.1
4,434.54,64112.67,510.0,-0.19
5,185.17,89773.33,177.5,-0.81
6,74.8,51533.17,0.72,-0.18
7,86.81,26009.65,97.51,-0.22
8,286.94,106008.25,1.61,-0.27
10,343.95,66120.5,640.94,-0.01
11,257.21,72710.8,31.5,-0.28
12,22.63,34593.42,23.33,-0.05
13,79.75,24478.33,16.29,-0.01
14,182.02,66181.33,3.59,0.04
16,1070.53,-598870.33,803.88,0.11
17,1728.9,-774761.33,16.67,1.18
18,3274.61,-1337807.58,22.06,0.35
19,1756.17,-1010763.05,57.07,0.37
20,1726.26,-946955.17,10.28,0.3
22,896.09,-250036.17,815.52,0.07
23,1840.6,-215734.5,32.29,-0.33
