target,model,RMSE,MAE,R2
fire_proxy (+6h),persistence,16.6105,9.108,0.1009
fire_proxy (+6h),ridge,34.1445,20.5555,-2.7992
fire_proxy (+6h),xgb,17.0889,12.0366,0.0483
cloud-height proxy (+6h),persistence,8.1522,5.0065,-0.0632
cloud-height proxy (+6h),ridge,12.3457,8.2968,-1.4384
cloud-height proxy (+6h),xgb,8.705,5.6328,-0.2123
cloud-top BT change (+6h),persistence,0.358,0.2396,-0.0002
cloud-top BT change (+6h),ridge,0.6247,0.3769,-2.0449
cloud-top BT change (+6h),xgb,0.2918,0.176,0.3358
PII (+6h),persistence,0.3606,0.2342,0.2709
PII (+6h),ridge,0.6817,0.4326,-1.6063
PII (+6h),xgb,0.3796,0.2733,0.1917
