,gain,permutation
PII,0.11421334,5.330317032941473
cape,0.018654551,
cloud_height_proxy,,2.3842504370593782
cvh,0.17850733,0.6914005419775409
cvl,0.061918765,
d_cloud_height_proxy,0.019818375,1.4830193817886201
d_fire_proxy,,1.068863214220121
d_raw_cloud_bt,0.026066901,1.295654081310045
diurnal_sin,,1.0163293764005041
elevation,0.06993609,
fire_proxy,,1.007172790211075
gust_factor,,2.745445781966035
injection_potential,0.031374503,1.037535127589994
rh_750,,0.7091538383819734
rh_colmean,0.033452086,1.7878794356536893
season_cos,0.04137665,
season_sin,0.020813879,
simulated_green,0.022447836,
slope,0.019522464,
sp,0.022120627,1.3811458617596157
t2m,,0.7201188157340995
tp,0.02547218,
v10,,0.8898746382349202
