,count,mean,std,min,25%,50%,75%,max
fire_proxy,224.0,-88.7023,17.4473,-143.0572,-97.5769,-92.6189,-78.4315,-33.3144
cloud_height_proxy,224.0,0.2875,7.845,-13.7338,-3.9998,-1.2241,2.1975,34.9757
raw_fire_bt,224.0,64.7161,84.1429,-0.151,0.0662,10.9432,122.5211,320.0125
raw_cloud_bt,224.0,0.5569,0.3374,0.0344,0.3754,0.5123,0.6828,2.104
t2m,225.0,294.6754,8.3786,278.7034,287.9412,295.1499,299.9915,314.3272
sp,225.0,90830.3526,7174.7016,77927.0,85370.0,89621.19,97201.875,102232.7
blh,225.0,1096.2393,1232.4706,12.214,56.1549,534.7196,1881.6505,5212.901
cape,225.0,107.6311,377.4581,0.0,0.0,0.0,8.375,2687.0
cin_filled,225.0,22.4333,98.105,0.0,0.0,0.0,0.0,972.4688
tp,225.0,0.0001,0.0003,0.0,0.0,0.0,0.0,0.0032
slhf,225.0,-183593.2133,220809.3555,-899150.0,-327817.0,-59608.0,-11058.0,11497.0
sshf,225.0,-325736.3467,506473.004,-1812059.0,-601750.0,-1534.0,30642.0,207398.0
fg10,225.0,6.8257,3.2418,1.7964,4.2931,6.1125,9.0886,14.9032
wind_speed10,225.0,2.5776,1.3702,0.3917,1.6324,2.2683,3.3073,8.1798
wind250,225.0,18.2169,10.2452,1.6303,10.6548,16.437,24.6797,46.1414
rh_colmean,225.0,42.5835,24.5884,5.0098,19.0612,42.1386,63.34,98.3568
rh_lapse,225.0,-0.0717,26.1285,-74.9394,-15.5284,-7.1541,16.6348,85.7846
ventilation,225.0,3446.2557,4628.1231,5.9394,110.7041,1085.0068,5235.0578,29131.8965
bowen,225.0,-1.4792,15.2245,-91.3789,-1.9173,-0.0276,2.0888,63.6231
PII,224.0,-0.0004,0.4188,-1.2165,-0.2481,-0.1051,0.296,1.2793
injection_potential,224.0,0.0002,0.5675,-1.6089,-0.3103,-0.091,0.2556,2.6962
elevation,227.0,1024.0308,827.6766,8.0,384.0,986.0,1213.0,3040.0
slope,227.0,5.6608,9.0316,0.0,0.0,2.0,5.0,29.0
dist_km,225.0,1.8773,0.7414,0.8401,1.5006,1.7595,2.0755,3.4496
